idNumber;client;itemsBought;totalSpent;paymentMethod;adress;vatNumber;date
P0001;3066;1001;0;;;TRUE;
P0002;3066;1002;0;;;FALSE;
P0003;3041;1003;0;;;FALSE;
P0004;3015;1004;0;;;TRUE;
P0005;3003;1005;0;;;TRUE;
P0006;3039;1006;0;;;TRUE;
P0007;3083;1007;0;;;FALSE;
P0008;3093;1008;0;;;FALSE;
P0009;3097;1009;0;;;FALSE;
P0010;3027;1010;0;;;FALSE;
P0011;3026;1011;0;;;TRUE;
P0012;3047;1012;0;;;FALSE;
P0013;3004;1013;0;;;FALSE;
P0014;3058;1014;0;;;TRUE;
P0015;3028;1015;0;;;TRUE;
P0016;3042;1016;0;;;TRUE;
P0017;3080;1017;0;;;FALSE;
P0018;3060;1018;0;;;FALSE;
P0019;3084;1019;0;;;FALSE;
P0020;3081;1020;0;;;FALSE;
P0021;3012;1021;0;;;TRUE;
P0022;3014;1022;0;;;FALSE;
P0023;3043;1023;0;;;FALSE;
P0024;3054;1024;0;;;TRUE;
P0025;3070;1025;0;;;TRUE;
P0026;3084;1026;0;;;TRUE;
P0027;3062;1027;0;;;FALSE;
P0028;3068;1028;0;;;FALSE;
P0029;3014;1029;0;;;FALSE;
P0030;3050;1030;0;;;FALSE;
P0031;3023;1031;0;;;TRUE;
P0032;3099;1032;0;;;FALSE;
P0033;3047;1033;0;;;FALSE;
P0034;3019;1034;0;;;TRUE;
P0035;3037;1035;0;;;TRUE;
P0036;3096;1036;0;;;TRUE;
P0037;3079;1037;0;;;FALSE;
P0038;3060;1038;0;;;FALSE;
P0039;3078;1039;0;;;FALSE;
P0040;3047;1040;0;;;FALSE;
P0041;3042;1041;0;;;TRUE;
P0042;3066;1042;0;;;FALSE;
P0043;3095;1043;0;;;FALSE;
P0044;3052;1044;0;;;TRUE;
P0045;3015;1045;0;;;TRUE;
P0046;3032;1046;0;;;TRUE;
P0047;3044;1047;0;;;FALSE;
P0048;3078;1048;0;;;FALSE;
P0049;3019;1049;0;;;FALSE;
P0050;3054;1050;0;;;FALSE;
P0051;3047;1051;0;;;TRUE;
P0052;3006;1052;0;;;FALSE;
P0053;3075;1053;0;;;FALSE;
P0054;3045;1054;0;;;TRUE;
P0055;3077;1055;0;;;TRUE;
P0056;3001;1056;0;;;TRUE;
P0057;3064;1057;0;;;FALSE;
P0058;3001;1058;0;;;FALSE;
P0059;3008;1059;0;;;FALSE;
P0060;3074;1060;0;;;FALSE;
P0061;3093;1061;0;;;TRUE;
P0062;3056;1062;0;;;FALSE;
P0063;3011;1063;0;;;FALSE;
P0064;3070;1064;0;;;TRUE;
P0065;3002;1065;0;;;TRUE;
P0066;3018;1066;0;;;TRUE;
P0067;3052;1067;0;;;FALSE;
P0068;3070;1068;0;;;FALSE;
P0069;3045;1069;0;;;FALSE;
P0070;3022;1070;0;;;FALSE;
P0071;3007;1071;0;;;TRUE;
P0072;3002;1072;0;;;FALSE;
P0073;3067;1073;0;;;FALSE;
P0074;3059;1074;0;;;TRUE;
P0075;3035;1075;0;;;TRUE;
P0076;3096;1076;0;;;TRUE;
P0077;3044;1077;0;;;FALSE;
P0078;3084;1078;0;;;FALSE;
P0079;3066;1079;0;;;FALSE;
P0080;3043;1080;0;;;FALSE;
P0081;3050;1081;0;;;TRUE;
P0082;3006;1082;0;;;FALSE;
P0083;3050;1083;0;;;FALSE;
P0084;3044;1084;0;;;TRUE;
P0085;3056;1085;0;;;TRUE;
P0086;3085;1086;0;;;TRUE;
P0087;3096;1087;0;;;FALSE;
P0088;3059;1088;0;;;FALSE;
P0089;3090;1089;0;;;FALSE;
P0090;3066;1090;0;;;FALSE;
P0091;3088;1091;0;;;TRUE;
P0092;3043;1092;0;;;FALSE;
P0093;3072;1093;0;;;FALSE;
P0094;3061;1094;0;;;TRUE;
P0095;3057;1095;0;;;TRUE;
P0096;3050;1096;0;;;TRUE;
P0097;3038;1097;0;;;FALSE;
P0098;3049;1098;0;;;FALSE;
P0099;3003;1099;0;;;FALSE;
P0100;3058;1100;0;;;FALSE;
P0101;3098;1101;0;;;TRUE;
P0102;3013;1102;0;;;FALSE;
P0103;3032;1103;0;;;FALSE;
P0104;3036;1104;0;;;TRUE;
P0105;3019;1105;0;;;TRUE;
P0106;3070;1106;0;;;TRUE;
P0107;3005;1107;0;;;FALSE;
P0108;3088;1108;0;;;FALSE;
P0109;3081;1109;0;;;FALSE;
