idNumber;name;brand;picture;taste;color;idealTemperature;origin;scores;price
1001;Wine 1;Brand 1;/public/img/testimage.webp;taste test;Red;15;Spain;5 4 3 2 1;81
1002;Wine 2;Brand 2;/public/img/testimage.webp;taste test;Red;16;Spain;5 4 3 2 1;9
1003;Wine 3;Brand 3;/public/img/testimage.webp;taste test;Red;17;Spain;5 4 3 2 1;20
1004;Wine 4;Brand 4;/public/img/testimage.webp;taste test;Red;18;Spain;5 4 3 2 1;94
1005;Wine 5;Brand 5;/public/img/testimage.webp;taste test;Red;19;Spain;5 4 3 2 1;73
1006;Wine 6;Brand 6;/public/img/testimage.webp;taste test;Red;20;Spain;5 4 3 2 1;96
1007;Wine 7;Brand 7;/public/img/testimage.webp;taste test;Red;21;Spain;5 4 3 2 1;36
1008;Wine 8;Brand 8;/public/img/testimage.webp;taste test;Red;22;Spain;5 4 3 2 1;13
1009;Wine 9;Brand 9;/public/img/testimage.webp;taste test;Red;23;Spain;5 4 3 2 1;75
1010;Wine 10;Brand 10;/public/img/testimage.webp;taste test;Red;24;Spain;5 4 3 2 1;99
1011;Wine 11;Brand 11;/public/img/testimage.webp;taste test;Red;25;Spain;5 4 3 2 1;58
1012;Wine 12;Brand 12;/public/img/testimage.webp;taste test;Red;15;Spain;5 4 3 2 1;3
1013;Wine 13;Brand 13;/public/img/testimage.webp;taste test;Red;16;Spain;5 4 3 2 1;57
1014;Wine 14;Brand 14;/public/img/testimage.webp;taste test;Red;17;Spain;5 4 3 2 1;20
1015;Wine 15;Brand 15;/public/img/testimage.webp;taste test;Red;18;Spain;5 4 3 2 1;4
1016;Wine 16;Brand 16;/public/img/testimage.webp;taste test;Red;19;Spain;5 4 3 2 1;62
1017;Wine 17;Brand 17;/public/img/testimage.webp;taste test;Red;20;Spain;5 4 3 2 1;99
1018;Wine 18;Brand 18;/public/img/testimage.webp;taste test;Red;21;Spain;5 4 3 2 1;95
1019;Wine 19;Brand 19;/public/img/testimage.webp;taste test;Red;22;Spain;5 4 3 2 1;46
1020;Wine 20;Brand 20;/public/img/testimage.webp;taste test;Red;23;Spain;5 4 3 2 1;46
1021;Wine 21;Brand 21;/public/img/testimage.webp;taste test;Red;24;Spain;5 4 3 2 1;22
1022;Wine 22;Brand 22;/public/img/testimage.webp;taste test;Red;25;Spain;5 4 3 2 1;85
1023;Wine 23;Brand 23;/public/img/testimage.webp;taste test;Red;15;Spain;5 4 3 2 1;92
1024;Wine 24;Brand 24;/public/img/testimage.webp;taste test;Red;16;Spain;5 4 3 2 1;88
1025;Wine 25;Brand 25;/public/img/testimage.webp;taste test;Red;17;Spain;5 4 3 2 1;88
1026;Wine 26;Brand 26;/public/img/testimage.webp;taste test;Red;18;Spain;5 4 3 2 1;43
1027;Wine 27;Brand 27;/public/img/testimage.webp;taste test;Red;19;Spain;5 4 3 2 1;73
1028;Wine 28;Brand 28;/public/img/testimage.webp;taste test;Red;20;Spain;5 4 3 2 1;73
1029;Wine 29;Brand 29;/public/img/testimage.webp;taste test;Red;21;Spain;5 4 3 2 1;80
1030;Wine 30;Brand 30;/public/img/testimage.webp;taste test;Red;22;Spain;5 4 3 2 1;3
1031;Wine 31;Brand 31;/public/img/testimage.webp;taste test;Red;23;Spain;5 4 3 2 1;68
1032;Wine 32;Brand 32;/public/img/testimage.webp;taste test;Red;24;Spain;5 4 3 2 1;18
1033;Wine 33;Brand 33;/public/img/testimage.webp;taste test;Red;25;Spain;5 4 3 2 1;25
1034;Wine 34;Brand 34;/public/img/testimage.webp;taste test;Red;15;Spain;5 4 3 2 1;6
1035;Wine 35;Brand 35;/public/img/testimage.webp;taste test;Red;16;Spain;5 4 3 2 1;9
1036;Wine 36;Brand 36;/public/img/testimage.webp;taste test;Red;17;Spain;5 4 3 2 1;20
1037;Wine 37;Brand 37;/public/img/testimage.webp;taste test;Red;18;Spain;5 4 3 2 1;0
1038;Wine 38;Brand 38;/public/img/testimage.webp;taste test;Red;19;Spain;5 4 3 2 1;55
1039;Wine 39;Brand 39;/public/img/testimage.webp;taste test;Red;20;Spain;5 4 3 2 1;10
1040;Wine 40;Brand 40;/public/img/testimage.webp;taste test;Red;21;Spain;5 4 3 2 1;11
1041;Wine 41;Brand 41;/public/img/testimage.webp;taste test;Red;22;Spain;5 4 3 2 1;97
1042;Wine 42;Brand 42;/public/img/testimage.webp;taste test;Red;23;Spain;5 4 3 2 1;65
1043;Wine 43;Brand 43;/public/img/testimage.webp;taste test;Red;24;Spain;5 4 3 2 1;20
1044;Wine 44;Brand 44;/public/img/testimage.webp;taste test;Red;25;Spain;5 4 3 2 1;79
1045;Wine 45;Brand 45;/public/img/testimage.webp;taste test;Red;15;Spain;5 4 3 2 1;66
1046;Wine 46;Brand 46;/public/img/testimage.webp;taste test;Red;16;Spain;5 4 3 2 1;36
1047;Wine 47;Brand 47;/public/img/testimage.webp;taste test;Red;17;Spain;5 4 3 2 1;53
1048;Wine 48;Brand 48;/public/img/testimage.webp;taste test;Red;18;Spain;5 4 3 2 1;68
1049;Wine 49;Brand 49;/public/img/testimage.webp;taste test;Red;19;Spain;5 4 3 2 1;79
1050;Wine 50;Brand 50;/public/img/testimage.webp;taste test;Red;20;Spain;5 4 3 2 1;100
1051;Wine 51;Brand 51;/public/img/testimage.webp;taste test;Red;21;Spain;5 4 3 2 1;48
